,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
68,Anita,"[28.3065235, 81.3591491]",Bardiya,sw,,,,,75,5.0,1.6,2.65,,2021-02-08,bd-sw-11,,Feb
69,Anita,"[28.0731407, 81.5542272]",Bardiya,sw,,,,,10,3.0,1.0,1.9,,2021-02-09,bd-sw-14,,Feb
70,Anita,"[28.0731098, 81.5542463]",Bardiya,sw,,,,,55,4.0,1.9,1.55,,2021-02-09,bd-sw-15,,Feb
71,Anita,"[28.073127, 81.5541212]",Bardiya,sw,,,,,60,5.0,1.7,2.7,,2021-02-09,bd-sw-16,,Feb
72,Anita,"[28.0731672, 81.5542815]",Bardiya,sw,,,,,10,3.0,0.8,2.1,,2021-03-11,bd-sw-14,,Mar
73,Anita,"[28.0731024, 81.5542315]",Bardiya,sw,,,,,60,4.0,0.5,2.9,,2021-03-11,bd-sw-16,,Mar
74,Anita,"[28.0714983, 81.5555563]",Bardiya,sw,,,,,55,3.0,0.8,1.65,,2021-03-11,bd-sw-15,,Mar
75,Anita,"[28.3350722, 81.266166]",Bardiya,sw,,,,,10,4.0,1.0,2.9,,2021-03-11,bd-sw-13,,Mar
76,Anita,"[28.2794958, 81.2629023]",Bardiya,sw,,,,,40,12.0,0.8,10.8,,2021-03-11,bd-sw-12,,Mar
77,Anita,"[28.2486034, 81.3085296]",Bardiya,sw,,,,,50,6.0,0.8,4.7,,2021-03-11,bd-sw-09,,Mar
78,Anita,"[28.2384443, 81.2889979]",Bardiya,sw,,,,,20,11.0,1.0,9.8,,2021-03-11,bd-sw-23,,Mar
79,Anita,"[28.3062108, 81.3598135]",Bardiya,sw,,,,,75,4.0,0.4,2.85,,2021-03-07,bd-sw-11,,Mar
80,Anita,"[28.3056749, 81.3593067]",Bardiya,sw,,,,,45,5.0,0.9,3.65,,2021-03-07,bd-sw-07,,Mar
81,Anita,"[28.3014031, 81.336592]",Bardiya,sw,,,,,60,4.0,0.8,2.6,,2021-03-07,bd-sw-10,,Mar
82,Anita,"[28.3512284, 81.4297636]",Bardiya,sw,,,,,40,4.0,0.8,2.8,,2021-03-07,bd-sw-08,,Mar
83,Anita,"[28.2898343, 81.4420493]",Bardiya,sw,,,,,32,4.0,0.9,2.78,,2021-03-07,bd-sw-04,,Mar
84,Anita,"[28.2282382, 81.5671037]",Bardiya,sw,,,,,40,7.0,0.8,5.8,,2021-03-07,bd-sw-21,,Mar
85,Anita,"[28.2491036, 81.5849593]",Bardiya,sw,,,,,10,6.0,0.8,5.1,,2021-03-07,bd-sw-22,,Mar
86,Anita,"[28.2363902, 81.5476911]",Bardiya,sw,,,,,0,2.5,0.4,2.1,,2021-03-07,bd-sw-02,,Mar
87,Anita,"[28.1691837, 81.3378857]",Bardiya,sw,,,,,40,8.0,2.0,5.6,,2021-03-02,bd-sw-06,,Mar
88,Anita,"[28.1897781, 81.3836074]",Bardiya,sw,,,,,30,6.0,1.0,4.7,,2021-03-02,bd-sw-05,,Mar
89,Anita,"[28.1880313, 81.4798915]",Bardiya,sw,,,,,40,5.0,0.6,4,,2021-03-02,bd-sw-03,,Mar
90,Anita,"[28.1656437, 81.5007906]",Bardiya,sw,,,,,40,5.0,0.4,4.2,,2021-03-02,bd-sw-18,,Mar
91,Anita,"[28.1464325, 81.4790871]",Bardiya,sw,,,,,30,7.0,1.0,5.7,,2021-03-02,bd-sw-19,,Mar
92,Anita,"[28.1486586, 81.4968512]",Bardiya,sw,,,,,70,5.0,0.5,3.8,,2021-03-02,bd-sw-20,,Mar
93,Anita,"[28.1056335, 81.4826266]",Bardiya,dt,,,,,10,15.0,4.0,10.9,bd-dw-02,2021-02-28,,,Feb
94,Anita,"[28.0883672, 81.5027316]",Bardiya,dt,,,,,20,13.0,1.0,11.8,bd-dw-03,2021-02-28,,,Feb
95,Anita,"[28.0828814, 81.5111584]",Bardiya,dt,,,,,24,14.0,4.0,9.76,bd-dw-04,2021-02-28,,,Feb
96,Anita,"[28.0852203, 81.5164757]",Bardiya,dt,,,,,25,13.0,0.8,11.95,bd-dw-01,2021-02-25,,,Feb
97,yogendra,"[28.0507648, 81.5861597]",Banke,sw,,bk-sw-28,,,55,7.0,1.85,4.6,,2021-02-24,,bk-sw-28,Feb
98,yogendra,"[28.1318094, 81.6588648]",Banke,sw,,bk-sw-06_1,,,45,5.0,2.65,1.9,,2021-02-25,,bk-sw-06_1,Feb
99,yogendra,"[28.0928569, 81.6478714]",Banke,sw,,bk-sw-07_1,,,15,4.35,0.5,3.7,,2021-02-25,,bk-sw-07_1,Feb
100,yogendra,"[28.0812296, 81.6450593]",Banke,sw,,bk-sw-24_1,,,54,6.0,1.95,3.51,,2021-02-25,,bk-sw-24_1,Feb
101,yogendra,"[28.1961034, 81.711776]",Banke,sw,,bk-sw-01,,,20,5.0,1.5,3.3,,2021-02-28,,bk-sw-01,Feb
102,yogendra,"[28.1465538, 81.5519786]",Banke,sw,,bk-sw-18_1,,,27,5.0,1.6,3.13,,2021-03-01,,bk-sw-18_1,Mar
103,yogendra,"[28.206544, 81.6307359]",Banke,sw,,bk-sw-03,,,40,9.0,2.3,6.3,,2021-02-28,,bk-sw-03,Feb
104,yogendra,"[28.1921073, 81.5747382]",Banke,sw,,bk-sw-05_1,,,29,5.0,1.7,3.01,,2021-02-28,,bk-sw-05_1,Feb
105,yogendra,"[28.1873729, 81.630073]",Banke,sw,,bk-sw-04,,,65,5.0,2.52,1.83,,2021-02-28,,bk-sw-04,Feb
106,yogendra,"[28.0830308, 81.5956368]",Banke,sw,,bk-sw-27,,,40,4.8,0.5,3.9,,2021-03-01,,bk-sw-27,Mar
107,yogendra,"[28.1060812, 81.5971233]",Banke,sw,,bk-sw-25_1,,,35,3.9,0.5,3.05,,2021-03-01,,bk-sw-25_1,Mar
108,yogendra,"[28.0513296, 81.6024401]",Banke,dt,bk-dw-05,,,,27,6.0,1.8,3.93,,2021-03-02,,bk-dw-05,Mar
109,yogendra,"[28.1114455, 81.5216505]",Banke,sw,,bk-sw-19_1,,,23,7.0,1.5,5.27,,2021-03-02,,bk-sw-19_1,Mar
110,yogendra,"[28.1132621, 81.5173494]",Banke,dt,bk-dw-04_1,,,,49,15.0,3.6,10.91,,2021-03-02,,bk-dw-04_1,Mar
