,Unnamed: 0,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month,S.No.,Well No.,Location,Longitude,Latitude,district
37,39,yogendra,"[28.0812224, 81.6450643]",Banke,sw,,bk-sw-24_1,,,54,6.0,2.45,3.01,,2021-02-03,,bk-sw-24_1,Feb,24,NISP-STW/1 ,Office compound,81.6450643,28.0812224,Banke
38,100,yogendra,"[28.0812296, 81.6450593]",Banke,sw,,bk-sw-24_1,,,54,6.0,1.95,3.51,,2021-02-25,,bk-sw-24_1,Feb,24,NISP-STW/1 ,Office compound,81.6450643,28.0812224,Banke
39,134,yogendra,"[28.0812185, 81.645044]",Banke,sw,,bk-sw-24_1,,,54,6.0,1.55,3.91,,2021-04-04,,bk-sw-24_1,Apr,24,NISP-STW/1 ,Office compound,81.6450643,28.0812224,Banke
40,177,yogendra,"[28.0812129, 81.6451034]",Banke,sw,,bk-sw-24_1,,,54,6.0,1.15,4.31,,2021-05-04,,bk-sw-24_1,May,24,NISP-STW/1 ,Office compound,81.6450643,28.0812224,Banke
41,226,yogendra,"[28.0812217, 81.6450477]",Banke,sw,,bk-sw-24_1,,,54,5.0,1.45,3.01,,2021-06-05,,bk-sw-24_1,Jun,24,NISP-STW/1 ,Office compound,81.6450643,28.0812224,Banke
42,7,yogendra,"[28.0151149, 81.6542853]",Banke,sw,,bk-sw-09_1,,,60,5.0,2.02,2.38,,2021-02-22,,bk-sw-09_1,Feb,9,1-045/46(BK)9 ,Sikhanpurwa,81.6543479,28.0151183,Banke
43,35,yogendra,"[28.0151183, 81.6543479]",Banke,sw,,bk-sw-09_1,,,60,5.0,2.25,2.15,,2021-01-31,,bk-sw-09_1,Jan,9,1-045/46(BK)9 ,Sikhanpurwa,81.6543479,28.0151183,Banke
44,118,yogendra,"[28.0150979, 81.6543421]",Banke,sw,,bk-sw-09_1,,,60,5.0,1.8,2.6,,2021-03-30,,bk-sw-09_1,Mar,9,1-045/46(BK)9 ,Sikhanpurwa,81.6543479,28.0151183,Banke
45,163,yogendra,"[28.0151007, 81.6543121]",Banke,sw,,bk-sw-09_1,,,60,5.0,1.7,2.7,,2021-04-23,,bk-sw-09_1,Apr,9,1-045/46(BK)9 ,Sikhanpurwa,81.6543479,28.0151183,Banke
46,209,yogendra,"[28.0151196, 81.6543402]",Banke,sw,,bk-sw-09_1,,,60,5.0,1.74,2.66,,2021-05-28,,bk-sw-09_1,May,9,1-045/46(BK)9 ,Sikhanpurwa,81.6543479,28.0151183,Banke
47,257,yogendra,"[28.0151419, 81.6543268]",Banke,sw,,bk-sw-09_1,,,60,5.0,2.22,2.18,,2021-06-22,,bk-sw-09_1,Jun,9,1-045/46(BK)9 ,Sikhanpurwa,81.6543479,28.0151183,Banke
48,9,yogendra,"[28.0242741, 81.6002787]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.82,4.68,,2021-02-22,,bk-sw-11_1,Feb,11,1-045/46(BK)11 ,Jaishpur,81.6002836,28.0242587,Banke
49,34,yogendra,"[28.0242587, 81.6002836]",Banke,sw,,bk-sw-11_1,,,50,6.0,1.35,4.15,,2021-01-31,,bk-sw-11_1,Jan,11,1-045/46(BK)11 ,Jaishpur,81.6002836,28.0242587,Banke
50,117,yogendra,"[28.0243004, 81.6002834]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.6,4.9,,2021-03-30,,bk-sw-11_1,Mar,11,1-045/46(BK)11 ,Jaishpur,81.6002836,28.0242587,Banke
51,159,yogendra,"[28.0242383, 81.6002699]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.46,5.04,,2021-04-23,,bk-sw-11_1,Apr,11,1-045/46(BK)11 ,Jaishpur,81.6002836,28.0242587,Banke
52,208,yogendra,"[28.0242824, 81.6002927]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.5,5.0,,2021-05-28,,bk-sw-11_1,May,11,1-045/46(BK)11 ,Jaishpur,81.6002836,28.0242587,Banke
53,256,yogendra,"[28.0242235, 81.6002958]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.2,5.3,,2021-06-22,,bk-sw-11_1,Jun,11,1-045/46(BK)11 ,Jaishpur,81.6002836,28.0242587,Banke
54,10,yogendra,"[28.0780604, 81.5932225]",Banke,sw,,bk-sw-26,,,25,5.0,2.31,2.44,,2021-02-20,,bk-sw-26,Feb,26,NISP-INV-STW/10,Banjaregaon,81.5933074,28.0780663,Banke
55,19,yogndra,"[28.0780663, 81.5933074]",Banke,sw,,bk-sw-26,,,25,5.0,2.55,2.2,,2021-01-27,,bk-sw-26,Jan,26,NISP-INV-STW/10,Banjaregaon,81.5933074,28.0780663,Banke
56,127,yogendra,"[28.078045, 81.5932275]",Banke,sw,,bk-sw-26,,,25,5.0,1.92,2.83,,2021-04-03,,bk-sw-26,Apr,26,NISP-INV-STW/10,Banjaregaon,81.5933074,28.0780663,Banke
57,166,yogendra,"[28.0780817, 81.5932166]",Banke,sw,,bk-sw-26,,,25,5.0,1.67,3.08,,2021-04-26,,bk-sw-26,Apr,26,NISP-INV-STW/10,Banjaregaon,81.5933074,28.0780663,Banke
58,214,yogendra,"[28.078065, 81.5932423]",Banke,sw,,bk-sw-26,,,25,5.0,1.65,3.1,,2021-05-31,,bk-sw-26,May,26,NISP-INV-STW/10,Banjaregaon,81.5933074,28.0780663,Banke
59,264,yogendra,"[28.0780271, 81.5932833]",Banke,sw,,bk-sw-26,,,25,5.0,2.43,2.32,,2021-06-28,,bk-sw-26,Jun,26,NISP-INV-STW/10,Banjaregaon,81.5933074,28.0780663,Banke
60,11,yogendral,"[28.1287297, 81.5894124]",Banke,sw,,bk-sw-17_1,,,15,5.0,1.78,3.07,,2021-02-20,,bk-sw-17_1,Feb,17,1-045/46(BK)17 ,D-gaon,81.5894281,28.1287151,Banke
61,23,yogendra,"[28.1287151, 81.5894281]",Banke,sw,,bk-sw-17_1,,,15,5.0,2.15,2.7,,2021-01-27,,bk-sw-17_1,Jan,17,1-045/46(BK)17 ,D-gaon,81.5894281,28.1287151,Banke
62,130,yogendra,"[28.1287337, 81.5893729]",Banke,sw,,bk-sw-17_1,,,15,5.0,1.05,3.8,,2021-04-03,,bk-sw-17_1,Apr,17,1-045/46(BK)17 ,D-gaon,81.5894281,28.1287151,Banke
63,169,yogendra,"[28.1287134, 81.5893535]",Banke,sw,,bk-sw-17_1,,,15,6.0,1.75,4.1,,2021-04-26,,bk-sw-17_1,Apr,17,1-045/46(BK)17 ,D-gaon,81.5894281,28.1287151,Banke
