,serial number,Well number,well_no,longitude,latitude,location,Well type,remarks,year,month,value
1814,31,EXPT-7,bk-dw-05,81.60245,28.05131,Parsapur,Deep well,NA,2004,May,2.18
2159,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2004,Jun,4.8
2160,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2004,Jun,NA
2161,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2004,Jun,3.63
2162,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2004,Jun,1.05
2163,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Flowing,2004,Jun,1.74
2164,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,NA,2004,Jun,NA
2165,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2004,Jun,NA
2166,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2004,Jun,3.63
2167,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Could not open,2004,Jun,NA
2168,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2004,Jun,NA
2169,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,Could not open,2004,Jun,NA
2170,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2004,Jun,1.89
2171,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damaged,2004,Jun,NA
2172,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2004,Jun,1.22
2173,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2004,Jun,1.26
2174,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2004,Jun,5.19
2175,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2004,Jun,3.35
2176,18,18-045/46(BK)18,bk-sw-18_1,560000,3113800,Kalhansgaon,Shallow well,NA,2004,Jun,3.13
2177,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2004,Jun,3.89
2178,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Flowing,2004,Jun,NA
2179,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2004,Jun,NA
2180,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damaged,2004,Jun,NA
2181,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2004,Jun,3.07
2182,24,NISP/STW 1,bk-sw-24_1,582750,3103700,Office_Compund,Shallow well,NA,2004,Jun,3.01
2183,25,NISP/INV/STW 8,bk-sw-25_1,NA,NA,Kajurakurda,Shallow well,NA,2004,Jun,NA
2184,26,NISP/INV/STW 10,bk-sw-26,NA,NA,Banjaregaon,Shallow well,NA,2004,Jun,NA
2185,27,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2004,Jun,10.63
2186,28,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2004,Jun,11.36
2187,29,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2004,Jun,11.03
2188,30,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2004,Jun,9.77
2189,31,EXPT-7,bk-dw-05,81.60245,28.05131,Parsapur,Deep well,NA,2004,Jun,3.34
2534,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2004,Jul,4.53
2535,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2004,Jul,NA
2536,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2004,Jul,1.75
2537,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2004,Jul,0.39
2538,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Flowing,2004,Jul,0.22
2539,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,NA,2004,Jul,NA
2540,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2004,Jul,NA
2541,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2004,Jul,1.63
2542,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Could not open,2004,Jul,NA
2543,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2004,Jul,NA
2544,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,Could not open,2004,Jul,NA
2545,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2004,Jul,0.73
2546,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damaged,2004,Jul,NA
2547,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2004,Jul,0.47
2548,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2004,Jul,0.51
2549,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2004,Jul,2.7
2550,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2004,Jul,1.7
2551,18,18-045/46(BK)18,bk-sw-18_1,560000,3113800,Kalhansgaon,Shallow well,NA,2004,Jul,1.33
2552,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2004,Jul,1.8
2553,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Flowing,2004,Jul,NA
2554,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2004,Jul,NA
2555,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damaged,2004,Jul,NA
2556,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2004,Jul,1.3
2557,24,NISP/STW 1,bk-sw-24_1,582750,3103700,Office_Compund,Shallow well,NA,2004,Jul,1.24
2558,25,NISP/INV/STW 8,bk-sw-25_1,NA,NA,Kajurakurda,Shallow well,NA,2004,Jul,NA
2559,26,NISP/INV/STW 10,bk-sw-26,NA,NA,Banjaregaon,Shallow well,NA,2004,Jul,NA
2560,27,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2004,Jul,8.73
2561,28,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2004,Jul,8.89
2562,29,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2004,Jul,8.48
2563,30,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2004,Jul,7.32
2564,31,EXPT-7,bk-dw-05,81.60245,28.05131,Parsapur,Deep well,NA,2004,Jul,2
2909,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2004,Aug,4.65
2910,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2004,Aug,NA
2911,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2004,Aug,1.8
2912,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2004,Aug,0.46
2913,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Flowing,2004,Aug,0.16
2914,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,NA,2004,Aug,NA
2915,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2004,Aug,NA
2916,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2004,Aug,3.35
2917,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Could not open,2004,Aug,NA
2918,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2004,Aug,NA
2919,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,Could not open,2004,Aug,NA
2920,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2004,Aug,0.78
2921,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damaged,2004,Aug,NA
2922,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2004,Aug,0.56
2923,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2004,Aug,0.6
2924,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2004,Aug,2.75
2925,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2004,Aug,1.75
2926,18,18-045/46(BK)18,bk-sw-18_1,560000,3113800,Kalhansgaon,Shallow well,NA,2004,Aug,1.36
2927,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2004,Aug,1.87
2928,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Flowing,2004,Aug,NA
2929,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2004,Aug,NA
2930,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damaged,2004,Aug,NA
2931,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2004,Aug,0.79
2932,24,NISP/STW 1,bk-sw-24_1,582750,3103700,Office_Compund,Shallow well,NA,2004,Aug,2.06
2933,25,NISP/INV/STW 8,bk-sw-25_1,NA,NA,Kajurakurda,Shallow well,NA,2004,Aug,NA
2934,26,NISP/INV/STW 10,bk-sw-26,NA,NA,Banjaregaon,Shallow well,NA,2004,Aug,NA
2935,27,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2004,Aug,8.63
2936,28,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2004,Aug,8.8
2937,29,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2004,Aug,8.37
2938,30,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2004,Aug,7.19
2939,31,EXPT-7,bk-dw-05,81.60245,28.05131,Parsapur,Deep well,NA,2004,Aug,1.76
3284,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2004,Sep,5.3
3285,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2004,Sep,NA
3286,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2004,Sep,2.77
3287,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2004,Sep,0.19
3288,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Flowing,2004,Sep,2.31
3289,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,NA,2004,Sep,NA
3290,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2004,Sep,NA
3291,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2004,Sep,4.89
3292,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Could not open,2004,Sep,NA
3293,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2004,Sep,NA
3294,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,Could not open,2004,Sep,3.7
3295,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2004,Sep,0.78
3296,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damaged,2004,Sep,NA
3297,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2004,Sep,NA
3298,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2004,Sep,NA
3299,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2004,Sep,5
3300,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2004,Sep,2.05
3301,18,18-045/46(BK)18,bk-sw-18_1,560000,3113800,Kalhansgaon,Shallow well,NA,2004,Sep,2.23
3302,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2004,Sep,4.17
3303,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Flowing,2004,Sep,NA
3304,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2004,Sep,2.45
3305,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damaged,2004,Sep,NA
3306,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2004,Sep,1.72
3307,24,NISP/STW 1,bk-sw-24_1,582750,3103700,Office_Compund,Shallow well,NA,2004,Sep,1.66
3308,25,NISP/INV/STW 8,bk-sw-25_1,NA,NA,Kajurakurda,Shallow well,NA,2004,Sep,NA
3309,26,NISP/INV/STW 10,bk-sw-26,NA,NA,Banjaregaon,Shallow well,NA,2004,Sep,NA
3310,27,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2004,Sep,11.33
3311,28,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2004,Sep,11.35
3312,29,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2004,Sep,11.18
3313,30,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2004,Sep,12.11
3314,31,EXPT-7,bk-dw-05,81.60245,28.05131,Parsapur,Deep well,NA,2004,Sep,2.94
3659,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2004,Oct,4.95
3660,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2004,Oct,NA
3661,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2004,Oct,2.8
3662,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2004,Oct,0.16
3663,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Flowing,2004,Oct,2.31
3664,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,NA,2004,Oct,NA
3665,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2004,Oct,NA
3666,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2004,Oct,9.94
3667,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Could not open,2004,Oct,NA
3668,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2004,Oct,NA
3669,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,Could not open,2004,Oct,3.05
3670,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2004,Oct,NA
3671,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damaged,2004,Oct,NA
3672,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2004,Oct,NA
3673,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2004,Oct,NA
3674,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2004,Oct,5.05
3675,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2004,Oct,2.1
3676,18,18-045/46(BK)18,bk-sw-18_1,560000,3113800,Kalhansgaon,Shallow well,NA,2004,Oct,2.28
3677,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2004,Oct,4.22
3678,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Flowing,2004,Oct,NA
3679,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2004,Oct,2.5
3680,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damaged,2004,Oct,NA
3681,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2004,Oct,NA
3682,24,NISP/STW 1,bk-sw-24_1,582750,3103700,Office_Compund,Shallow well,NA,2004,Oct,1.86
3683,25,NISP/INV/STW 8,bk-sw-25_1,NA,NA,Kajurakurda,Shallow well,NA,2004,Oct,1.83
3684,26,NISP/INV/STW 10,bk-sw-26,NA,NA,Banjaregaon,Shallow well,NA,2004,Oct,1.95
3685,27,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2004,Oct,11.48
3686,28,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2004,Oct,11.5
3687,29,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2004,Oct,11.38
3688,30,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2004,Oct,12.26
3689,31,EXPT-7,bk-dw-05,81.60245,28.05131,Parsapur,Deep well,NA,2004,Oct,3.18
4034,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2004,Nov,4.97
4035,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2004,Nov,NA
4036,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2004,Nov,2.75
4037,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2004,Nov,0.16
4038,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Flowing,2004,Nov,2.36
4039,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,NA,2004,Nov,NA
4040,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2004,Nov,NA
4041,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2004,Nov,4.99
4042,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Could not open,2004,Nov,2.7
4043,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2004,Nov,NA
4044,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,Could not open,2004,Nov,3.15
4045,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2004,Nov,NA
4046,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damaged,2004,Nov,NA
4047,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2004,Nov,NA
4048,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2004,Nov,NA
4049,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2004,Nov,5.07
4050,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2004,Nov,2.05
4051,18,18-045/46(BK)18,bk-sw-18_1,560000,3113800,Kalhansgaon,Shallow well,NA,2004,Nov,2.23
4052,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2004,Nov,3.12
4053,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Flowing,2004,Nov,NA
4054,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2004,Nov,2.55
4055,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damaged,2004,Nov,NA
4056,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2004,Nov,NA
4057,24,NISP/STW 1,bk-sw-24_1,582750,3103700,Office_Compund,Shallow well,NA,2004,Nov,1.81
4058,25,NISP/INV/STW 8,bk-sw-25_1,NA,NA,Kajurakurda,Shallow well,NA,2004,Nov,1.88
4059,26,NISP/INV/STW 10,bk-sw-26,NA,NA,Banjaregaon,Shallow well,NA,2004,Nov,2.1
4060,27,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2004,Nov,11.03
4061,28,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2004,Nov,11.35
4062,29,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2004,Nov,11.23
4063,30,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2004,Nov,11.41
4064,31,EXPT-7,bk-dw-05,81.60245,28.05131,Parsapur,Deep well,NA,2004,Nov,2.93
4409,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2004,Dec,5.05
4410,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2004,Dec,NA
4411,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2004,Dec,2.85
4412,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2004,Dec,1.06
4413,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Flowing,2004,Dec,2.36
4414,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,NA,2004,Dec,3.3
4415,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2004,Dec,NA
4416,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2004,Dec,5.14
4417,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Could not open,2004,Dec,2.9
4418,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2004,Dec,2.85
4419,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,Could not open,2004,Dec,4.3
4420,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2004,Dec,NA
4421,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damaged,2004,Dec,NA
4422,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2004,Dec,NA
4423,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2004,Dec,NA
4424,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2004,Dec,5.15
4425,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2004,Dec,2.2
4426,18,18-045/46(BK)18,bk-sw-18_1,560000,3113800,Kalhansgaon,Shallow well,NA,2004,Dec,2.38
4427,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2004,Dec,3.27
4428,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Flowing,2004,Dec,NA
4429,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2004,Dec,2.65
4430,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damaged,2004,Dec,NA
4431,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2004,Dec,NA
4432,24,NISP/STW 1,bk-sw-24_1,582750,3103700,Office_Compund,Shallow well,NA,2004,Dec,2.36
4433,25,NISP/INV/STW 8,bk-sw-25_1,NA,NA,Kajurakurda,Shallow well,NA,2004,Dec,1.98
4434,26,NISP/INV/STW 10,bk-sw-26,NA,NA,Banjaregaon,Shallow well,NA,2004,Dec,2.3
4435,27,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2004,Dec,11.18
4436,28,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2004,Dec,11.5
4437,29,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2004,Dec,11.38
4438,30,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2004,Dec,11.46
4439,31,EXPT-7,bk-dw-05,81.60245,28.05131,Parsapur,Deep well,NA,2004,Dec,2.83
196,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2005,Jan,5.1
197,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Damaged,2005,Jan,NA
198,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2005,Jan,2.95
199,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2005,Jan,0.81
200,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,NA,2005,Jan,2.56
201,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,NA,2005,Jan,3.45
202,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,Damaged,2005,Jan,NA
203,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2005,Jan,5.19
204,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,NA,2005,Jan,3
205,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2005,Jan,3.2
206,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2005,Jan,4.4
207,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2005,Jan,NA
208,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damaged,2005,Jan,NA
209,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2005,Jan,NA
210,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2005,Jan,NA
211,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2005,Jan,5.25
212,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2005,Jan,2.3
