,serial number,Well number,well_no,longitude,latitude,location,Well type,remarks,year,month,value
1023,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2001,Mar,3.14
1024,18,NA,bk-sw-18_1,554250,3113800,Klahas_Gaon,Shallow well,NA,2001,Mar,2.1
1025,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2001,Mar,3.52
1026,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Fllowing,2001,Mar,NA
1027,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2001,Mar,3.14
1028,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damage,2001,Mar,NA
1029,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2001,Mar,3.12
1030,1,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2001,Mar,12.21
1031,2,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2001,Mar,11.1
1032,3,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2001,Mar,11.78
1033,4,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2001,Mar,11.02
1382,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2001,Apr,5.34
1383,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2001,Apr,NA
1384,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2001,Apr,3.1
1385,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2001,Apr,NA
1386,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Fllowing,2001,Apr,0.15
1387,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,Pump  not open,2001,Apr,NA
